Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
9	970	3	366	3.0	1.5	366.0	161.66666666666666	8	704	3	282	3.0	1.3333333333333333	282.0	117.33333333333333	dns
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
27	2094	3	210	3.0	4.5	210.0	349.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
11	1214	2	244	2.0	1.5714285714285714	244.0	173.42857142857142	8	704	3	282	3.0	1.3333333333333333	282.0	117.33333333333333	dns
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
27	2094	3	210	3.0	4.5	210.0	349.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
11	1214	2	244	2.0	1.5714285714285714	244.0	173.42857142857142	11	986	3	282	3.0	1.5714285714285714	282.0	140.85714285714286	dns
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
27	2094	3	210	3.0	4.5	210.0	349.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
11	1214	2	244	2.0	1.5714285714285714	244.0	173.42857142857142	11	986	3	282	3.0	1.5714285714285714	282.0	140.85714285714286	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
27	2094	3	210	3.0	4.5	210.0	349.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
11	1214	2	244	2.0	1.5714285714285714	244.0	173.42857142857142	11	986	3	282	3.0	1.5714285714285714	282.0	140.85714285714286	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
27	2094	3	210	3.0	4.5	210.0	349.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
11	1214	2	244	2.0	1.5714285714285714	244.0	173.42857142857142	11	986	3	282	3.0	1.5714285714285714	282.0	140.85714285714286	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
27	2094	3	210	3.0	4.5	210.0	349.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
11	1214	2	244	2.0	1.5714285714285714	244.0	173.42857142857142	11	986	3	282	3.0	1.5714285714285714	282.0	140.85714285714286	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
27	2094	3	210	3.0	4.5	210.0	349.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
11	1214	2	244	2.0	1.5714285714285714	244.0	173.42857142857142	11	986	3	282	3.0	1.5714285714285714	282.0	140.85714285714286	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
27	2094	0	0	0.0	3.857142857142857	0.0	299.14285714285717	0	0	0	0	0.0	0.0	0.0	0.0	dns
11	1214	0	0	0.0	1.375	0.0	151.75	11	986	3	282	3.0	1.5714285714285714	282.0	140.85714285714286	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
27	2094	0	0	0.0	3.857142857142857	0.0	299.14285714285717	0	0	0	0	0.0	0.0	0.0	0.0	dns
11	1214	0	0	0.0	1.375	0.0	151.75	11	986	0	0	0.0	1.375	0.0	123.25	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
27	2094	0	0	0.0	3.857142857142857	0.0	299.14285714285717	0	0	0	0	0.0	0.0	0.0	0.0	dns
11	1214	0	0	0.0	1.375	0.0	151.75	11	986	0	0	0.0	1.375	0.0	123.25	dns
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	dns
27	2094	0	0	0.0	3.857142857142857	0.0	299.14285714285717	0	0	0	0	0.0	0.0	0.0	0.0	dns
11	1214	0	0	0.0	1.375	0.0	151.75	11	986	0	0	0.0	1.375	0.0	123.25	dns
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	dns
